<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
germ_leopard_c2_mexas,C2A1,Leopard C2A1,C2A1,C2A1,C2A1,C2A1,C2A1,C2A1,C2A1,豹 C2A1,C2A1,C2A1,C2A1,C2A1,Leopard C2A1,C2A1,C2A1,C2A1,▀ 豹\tC2A1,C2A1,C2A1,,
it_leopard_1a5,▄Leopard 1A5,▄Leopard 1A5,▄Leopard 1A5,Leopard 1A5,▄Leopard 1A5,▄Leopard 1A5,▄Leopard 1A5,▄Leopard 1A5,▄Leopard 1A5,▄\t豹 1A5,▄レオパルト 1A5,Leopard 1A5,▄Leopard 1A5,Leopard 1A5,▄Leopard 1A5,▄레오파르트 1A5,▄Leopard 1A5,Leopard 1A5,▄ 豹\t1A5,▄\t“豹”\t1A5,▄Leopard 1A5,,
germ_leopard_1a5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,豹 1A5,レオパルト 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,Leopard 1A5,레오파르트 1A5,Leopard 1A5,Leopard 1A5,豹\t1A5,“豹”\t1A5,Leopard 1A5,,
germ_leopard_I_a1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,豹 A1A1,レオパルト A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,Leopard A1A1,레오파르트 A1A1,Leopard A1A1,Leopard A1A1,豹\tA1A1,“豹” A1A1,Leopard A1A1,,
germ_kv_1_kwk_40,▀KW I C 756 (r),▀KW I C 756 (r),▀KV-I C 756 (r),▀KW I C 756 (r),▀KV I C 756 (r),▀KW I C 756 (r),▀KW I C 756 (r),▀ PzKpfw KV-IB 755(r),▀KW I C 756 (r),▀\tKW I C 756 (r),▀KV I C 756 (r),▀KV I C 756 (r),▀KV I C 756 (r),▀KV I C 756 (r),▀KW I C 756 (r),▀KV I C 756 (r),▀KV-1B 756(r),▀KV-IB 756(r),▀\tKW I C 756 (r),KV-IB 756(r),▀KW I C 756 (r),,
germ_kv_2_754r,▀KW II 754 (r),▀KW II 754 (r),▀KV-II 754 (r),▀KW II 754 (r),▀KV II 754 (r),▀KW II 754 (r),▀KW II 754(r),▀ PzKpfw KV-II 754(r),▀KW II 754 (r),▀\tKW II 754 (r),▀KV II 754 (r),▀KV II 754 (r),▀KV II 754 (r),▀KV II 754 (r),▀KW II 754 (r),▀KV-II 754(r),▀KV-II 754r,▀KV-II 754(r),▀\tKW II 754 (r),KV-II 754r,▀KW II 754 (r),,
germ_kv_1B_finland,▀KV-IB,▀KV-IB,▀KV-1B,▀KV-IB,▀KV-IB,▀KV-IB,▀KW-1B,▀ KV-1E [ST],▀KV-IB,▀\tKV-1B,▀KV-IB,▀KV-IB,▀KV-IB,▀KV-IB,▀KV-IB,▀KV-1B,▀KV-1B,▀KV-IB,▀\tKV-IB,KV-1B F32,▀KV-IB,,
us_m4a2_1944_germ,▀M4 748 (a),▀M4 748 (a),▀M4A2,▀M4-748(a),▀M4 748 (a),▀M4 748 (a),▀M4-748 (a),▀ PzKpfw M4 748 (a),▀M4 748 (a),▀\tM4 748 (a),▀M4 748 (a),▀M4 748 (a),▀M4 748 (a),▀M4A2,▀M4 748 (a),▀M4 748 (a),▀M4 748 (a),▀M4 748 (a),▀\tM4-748 (a),M4 748(a)\t“谢\t尔\t曼”,▀M4 748 (a),,
germ_pzkpfw_V_ausf_a_panther,Panther A,Panther A,Panther A,Panther A,Panther A,Panther A,Panther A,PzKpfw V Ausf. A Panther,Panther A,豹\t式\t坦\t克 A 型,パンター\tA\t型,Panther A,Panther A,PzKpfw V Ausf.A,Panther A,판터 A형,Panther A,Panther A,豹\t式\t坦\t克 A 型,PK 5 号 A 型,Panther A,,
germ_pzkpfw_V_ausf_g_panther,Panther G,Panther G,Panther G,Panther G,Panther G,Panther G,Panther G,PzKpfw V Ausf. G Panther,Panther G,豹\t式\t坦\t克 G 型,パンター\tG\t型,Panther G,Panther G,PzKpfw V Ausf.G,Panther G,판터 G형,Panther G,Panther G,豹\t式\t坦\t克 G 型,PK 5 号 G 型,Panther G,,
germ_pzkpfw_V_ausf_d_panther,Panther D,Panther D,Panther D,Panther D,Panther D,Panther D,Panther D,PzKpfw V Ausf. D Panther,Panther D,豹\t式\t坦\t克 D 型,パンター\tD\t型,Panther D,Panther D,PzKpfw V Ausf.D,Panther D,판터 D형,Panther D,Panther D,豹\t式\t坦\t克 D 型,PK 5 号 D 型,Panther D,,
germ_pzkpfw_V_ausf_d_panther_tutorial,Panther D,Panther D,Panther D,Panther D,Panther D,Panther D,Panther D,PzKpfw V Ausf. D Panther,Panther D,豹\t式\t坦\t克 D 型,パンター\tD\t型,Panther D,Panther D,Pz.Kpfw. V Ausf. D,Panther D,판터 D형,Panther D,Panther D,豹\t式\t坦\t克 D 型,PK 5 号 D 型,Panther D,,
germ_pzkpfw_V_ausf_f_panther,Panther F,Panther F,Panther F,Panther F,Panther F,Panther F,Panther F,PzKpfw V Ausf. F Panther,Panther F,豹\t式\t坦\t克 F 型,パンター\tF\t型,Panther F,Panther F,PzKpfw V Ausf.F,Panther F,판터 F형,Panther F,Panther F,豹\t式\t坦\t克 F 型,PK 5 号 F 型,Panther F,,
germ_sdkfz_6_2_flak36,Sd.Kfz. 6/2,Sd.Kfz. 6/2,3.7cm Flak 36,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2,SdKfz 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz.6/2,3.7cm Flak 36,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2,Sd.Kfz. 6/2 [AAA],FlaK 36 自\t行\t防\t空\t炮,FK  37\t毫\t米\tFlaK 36\t自\t行\t防\t空\t炮,Sd.Kfz. 6/2,,
germ_flakpanzer_38t_Gepard,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,FlakPz 38(t) Gepard,Flakpanzer 38,38(t) 防\t空\t坦\t克,38(t)対空戦車,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38,Flakpanzer 38(t) [AAA],38(t)\t防\t空\t坦\t克,FK 38(t)\t自\t行\t防\t空\t炮,Flakpanzer 38,,
germ_flakpanzer_I_ausf_A,Flakpanzer I,Flakpanzer I,Flakpanzer I,Flakpanzer I,Flakpanzer I,Flakpanzer I,Flakpanzer I,FlakPz I Ausf. A,Flakpanzer I,一\t号\t防\t空\t坦\t克,I 号対空戦車,Flakpanzer I,Flakpanzer I,Flakpanzer I,Flakpanzer I,1호 대공전차,Flakpanzer I,Flakpanzer I [AAA],一\t號\t防\t空\t坦\t克,FK 1 号\t自\t行\t防\t空\t炮\tA\t型,Flakpanzer I,,
germ_pz_IV_L70_A,Panzer IV/70(A),Panzer IV/70(A),Panzer IV/70(A),Panzer IV/70 (A),Panzer IV/70(A),Panzer IV/70(A),Panzer IV/70(A),JagdPz IV/70 (A),Panzer IV/70(A),四\t号\t坦\t克\t/70 (A),IV 号戦車 /70 (A),Panzer IV/70(A),Pz.IV/70 (A),Jagdpanzer IV/70(A),Panzer IV/70(A),4호 구축전차 L/70(A),Panzer IV/70(A),Panzer IV/70(A),四\t號\t坦\t克\t/70(A),JK 4 号\t70 (A) 坦\t克\t歼\t击\t车,Panzer IV/70(A),,
germ_pz_IV_L70,Panzer IV/70(V),Panzer IV/70(V),Panzer IV/70(V),Panzer IV/70 (V),Panzer IV/70(V),Panzer IV/70(V),Panzer IV/70(V),JagdPz IV/70 (V),Panzer IV/70(V),四\t号\t坦\t克\t/70 (V),IV 号戦車 /70 (V),Panzer IV/70(V),Pz.IV/70 (V),Panzer IV/70,Panzer IV/70(V),4호 구축전차 L/70(V),Panzer IV/70(V),Panzer IV/70(V),四\t號\t坦\t克\t殲\t擊\t車\t/L 70(V),JK 4 号\t70 (V) 坦\t克\t歼\t击\t车,Panzer IV/70(V),,
germ_jgdpz_IV_L48,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,JagdPz IV/48,Jagdpanzer IV,四\t号\t歼\t击\t坦\t克,IV 号駆逐戦車,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,Jagdpanzer IV,4호 구축전차,Jagdpanzer IV,Jagdpanzer IV,四\t號\t坦\t克\t殲\t擊\t車,JK 4 号 坦\t克\t歼\t击\t车,Jagdpanzer IV,,
germ_sdkfz_234_1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz. 234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz. 234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz. 234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz.234/1,Sd.Kfz. 234/1,SK 234/1 装\t甲\t车,Sd.Kfz.234/1,,
germ_sdkfz_234_2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,SdKfz 234/2 Puma,Sd.Kfz.234/2,Sd.Kfz. 234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz. 234/2,Sd.Kfz.234/2,Sd.Kfz.234/2,Sd.Kfz. 234/2,Sd.Kfz.234/2,SK 234/2 装\t甲\t车,Sd.Kfz.234/2,,
germ_sdkfz_234_2_td,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz. 234/2 (TD),Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz. 234/2 (TD),Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz.234/2 TD,Sd.Kfz. 234/2 (TD),Sd.Kfz. 234/2\t“美\t洲\t狮” (TD),Sd.Kfz.234/2 TD,,
germ_sdkfz_234_3,Sd.Kfz.234/3,Sd.Kfz. 234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,SdKfz 234/3 Stummel,Sd.Kfz.234/3,Sd.Kfz. 234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz. 234/3,Sd.Kfz.234/3,Sd.Kfz.234/3,Sd.Kfz. 234/3,Sd.Kfz. 234/3,SK 234/3 75\t毫\t米\t突\t击\t榴\t弹\t炮,Sd.Kfz.234/3,,
germ_sdkfz_234_4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,SdKfz 234/4 Pakwagen,Sd.Kfz.234/4,Sd.Kfz. 234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz.234/4,Sd.Kfz. 234/4,Sd.Kfz. 234/4,Sd.Kfz.234/4,Sd.Kfz. 234/4,Sd.Kfz. 234/4,SK 234/4,Sd.Kfz.234/4,,
germ_panzerbefelhswagen_jagdpanther,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,猎\t豹\t坦\t歼\t指\t挥\t车,Bfw.ヤークトパンター G1,Bfw. Jagdpanther G1,Pz.Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther G1,야크트판터 지휘차형 G1,Bfw. Jagdpanther G1,Bfw. Jagdpanther,獵\t豹\t指\t揮\t車 G1 型,BPK 5 号 指\t挥\t型\t坦\t克\t歼\t击\t车,Bfw. Jagdpanther G1,,
germ_panzerjager_panther,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,猎\t豹\t坦\t歼 G1 型,ヤークトパンター G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,Jagdpanther G1,야크트판터 G1,Jagdpanther G1,Jagdpanther,獵\t豹 G1 型,PK 5 号 坦\t克\t歼\t击\t车,Jagdpanther G1,,
germ_panzerjager_tiger,Jagdtiger,Jagdtiger,Jagdtiger,Jagdtiger,Jagdtiger,Jagdtiger,Jagdtiger,PzJgr VI Jagdtiger,Jagdtiger,猎\t虎,ヤークトティーガー,Jagdtiger,Jagdtiger,Jagdtiger,Jagdtiger,야크트티거,Jagdtiger,Jagdtiger,獵\t虎,PK 6 号\tB\t型\t自\t行\t反\t坦\t克\t炮,Jagdtiger,,
germ_panzerjager_1,Panzerjäger I,Panzerjäger I,Panzerjäger I,Panzerjäger I,Panzerjäger I,Panzerjäger I,Panzerjäger I,PzJgr I Ausf. B,Panzerjäger I,一\t号\t坦\t克\t歼\t击\t车,I\t号対戦車自走砲,Panzerjäger I,Panzerjäger I,Panzerjäger I,Panzerjäger I,1호 대전차자주포,Panzerjäger I,Panzerjäger I,一\t號\t坦\t克\t殲\t擊\t車,PK 1 号\t自\t行\t反\t坦\t克\t炮\tB\t型,Panzerjäger I,,
uk_3_inch_gun_carrier,Gun Carrier (3-in),Gun Carrier (3-in),Gun Carrier (3-in),Gun Carrier (3-In),Cañón Autopropulsado de 3 pulgadas,Gun Carrier (3-in),Gun Carrier (3-in),"Gun Carrier (3"")",Gun Carrier (3-in),3 英\t寸\t火\t炮\t运\t载\t车,ガンキャリアー（3\tインチ）,Gun Carrier (3-in),Gun Carrier (3-in),Gun Carrier (3-in),Churchill Gun Carrier,3인치 건 캐리어,3 inch Gun Carrier,Churchill Gun Carrier,邱\t吉\t爾\tMk I 3\t吋\t榴\t彈\t炮,“丘\t吉\t尔”\t3 英\t寸\t火\t炮\t运\t载\t车 Mk I,Gun Carrier (3-in),,
uk_matilda_hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,玛\t蒂\t尔\t达\t/\t刺\t猬,マチルダ・ヘッジホッグ,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,Matilda Hedgehog,마틸다 헤지호그,Matilda Hedgehog,Matilda Hedgehog,瑪\t蒂\t爾\t達\t“刺\t猬”,“玛\t蒂\t尔\t达”,Matilda Hedgehog,,
uk_a_12_mk_2_matilda_2,Matilda III,Matilda III,Matilda III,Matilda III,Matilda III,Matilda III,Matilda III,Matilda Mk.II,Matilda III,玛\t蒂\t尔\t达 III,マチルダ\tIII,Matilda III,Matilda III,Matilda III,Matilda III,마틸다 III,Matilda Mk.II,Matilda II,瑪\t蒂\t達 III,“玛\t蒂\t尔\t达 II”,Matilda III,,
uk_churchill_avre,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,丘\t吉\t尔 AVRE,チャーチル AVRE「ペタード」,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,Churchill AVRE Petard,처칠 AVRE 페타드,Churchill AVRE Petard,Churchill AVRE Petard,邱\t吉\t爾 AVRE,Churchill AVRE Petard,Churchill AVRE Petard,,
uk_churchill_na75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,丘\t吉\t尔 NA75,チャーチル NA75,Churchill NA75,Churchill NA75,Churchill NA75,Churchill NA75,처칠 NA75,Churchill NA75,Churchill NA75,邱\t吉\t爾 NA75,Churchill NA75,Churchill NA75,,
uk_a_22f_mk_7_churchill_crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,丘\t吉\t尔\t鳄\t鱼,チャーチル・クロコダイル,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,Churchill Crocodile,처칠 크로커다일,Churchill Crocodile,Churchill Crocodile,邱\t吉\t爾\t鱷\t魚,Churchill Crocodile,Churchill Crocodile,,
uk_a_22f_mk_7_churchill_1944,Churchill VII,Churchill VII,Churchill VII,Churchill Mk VII,Churchill VII,Churchill VII,Churchill VII,Churchill VII,Churchill VII,丘\t吉\t尔 VII,チャーチル\tVII,Churchill VII,Churchill VII,Churchill VII,Churchill VII,처칠 VII,Churchill Mk.VII,Churchill Mk VII,邱\t吉\t爾\tMk VII,“丘\t吉\t尔”\tMk VII,Churchill VII,,
uk_a27m_cromwell_5,Cromwell V,Cromwell V,Cromwell V,Cromwell V,Cromwell V,Cromwell V,Cromwell V,Cromwell Mk.V,Cromwell V,克\t伦\t威\t尔 V,クロムウェル V,Cromwell V,Cromwell V,Cromwell V,Cromwell V,크롬웰 V,Cromwell V,Cromwell V,克\t倫\t威\t爾 V,“克\t伦\t威\t尔”\tMk V,Cromwell V,,
uk_a27m_cromwell_5_rp3,Cromwell V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),Cromwell Mk.V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),克\t伦\t威\t尔 V/RP-3,クロムウェル V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),Cromwell V (RP-3),크롬웰 V (RP-3),Cromwell RP-3,Cromwell Mk V (RP-3),克\t倫\t威\t爾 Mk V(RP-3),“克\t伦\t威\t尔”\tRP-3,Cromwell V (RP-3),,
uk_concept3_ngac,Concept 3,Concept 3 ,Concept 3,Concept 3 NGAC,Concepto 3,Concept 3,Concept 3,Koncept 3,Concept 3,三\t号\t概\t念\t车,Concept 3,Concept 3,Concept 3,Concept 3,Concept 3,컨셉트 3,Concept 3,Concept 3,3 號\t概\t念\t車,▄\t三\t号\t概\t念\t车,Concept 3,,
uk_eland_90_mk_7,Eland 90 Mk.7,Eland 90 Mk 7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,大\t羚\t羊 90 Mk 7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk. 7,일런드 90 Mk.7,Eland 90 Mk.7,Eland 90 Mk.7,羚\t羊 90 Mk.7,“大\t羚\t羊” 90 Mk.7,Eland 90 Mk.7,,
uk_sarc_mk4_a,SARC MkIVa,SARC Mk IVA,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC Mk IVa,SARC Mk.IVa,SARC MkIVa,SARC Mk.IVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,SARC MkIVa,,
uk_marmon_herrington_mk_6_6pdr,SARC MkVI (6pdr),SARC Mk VI (6pdr),SARC MkVI (6pdr),SARC Mk VI (6pdr),SARC MkVI (6pdr),SARC MkVI (6pdr),SARC MkVI (6pdr),SARC MkVI (6pdr),SARC Mk.VI (6pdr),SARC Mk VI/6 磅,SARC MkVI (6pdr),SARC MkVI (6pdr),SARC Mk.VI (6pdr),SARC MkVI (6pdr),SARC Mk. VI (6pdr),SARC MkVI (6파운더),SARC MkVI (6pdr),SARC MkVI (6pdr),SARC Mk VI/6 磅\t炮,▄\tSARC Mk VI/6 磅\t坦\t克\t炮,SARC MkVI (6pdr),,
uk_marmon_herrington_mk_6_2pdr,SARC MkVI (2pdr),SARC Mk VI (2pdr),SARC MkVI (2pdr),SARC Mk VI (2pdr),SARC MkVI (2pdr),SARC MkVI (2pdr),SARC MkVI (2pdr),SARC MkVI (2pdr),SARC Mk.VI (2pdr),SARC Mk VI/2 磅,SARC MkVI (2pdr),SARC MkVI (2pdr),SARC Mk.VI (2pdr),SARC MkVI (2pdr),SARC Mk. VI (2pdr),SARC MkVI (2파운더),SARC MkVI (2pdr),SARC MkVI (2pdr),SARC Mk VI/2 磅\t炮,SARC MkVI (2pdr),SARC MkVI (2pdr),,
uk_bosvark,Bosvark,Bosvark,Bosvark,Bosvark,Bosvark,Bosvark,Bosvark,Bosvark,Bosvark,野\t牛,ボスファルク,Bosvark,Bosvark,Bosvark,Bosvark,보스바크,Bosvark,Bosvark,野\t牛,Bosvark,Bosvark,,
uk_ystervark_spaa,Ystervark,Ystervark,Ystervark,Ystervark,Ystervark,Ystervark,Ystervark,Ystervark,Ystervark,豪\t猪,イステルファルク,Ystervark,Ystervark,Ystervark,Ystervark,이스터바크,Ystervark,Ystervark,豪\t豬,▄\t“豪\t猪”,Ystervark,,
uk_g6_spg,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,,
uk_ratel_20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,蜜\t獾 20,ラーテル 20,Ratel 20,Ratel 20,Ratel 20,Ratel 20,라텔 20,Ratel 20,Ratel 20,蜜\t貛 20,“蜜\t獾” 20,Ratel 20,,
uk_ttd,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,TTD,“号\t角” 2,TTD,,
uk_ratel_zt3,ZT3A2,Ratel ZT3A2,ZT3A2,ZT3-A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,Ratel ZT3A2,ZT3A2,ZT3A2,ZT3A2,ZT3A2,“蜜\t獾” ZT3-A2,ZT3A2,,
uk_rooikat_za_35,ZA-35,Rooikat ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,Rooikat ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,ZA-35,,
uk_rooikat_mttd,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,大\t山\t猫 MTTD,ルーイカット MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,Rooikat MTTD,루이카트 MTTD,Rooikat MTTD,Rooikat MTTD,獰\t貓 MTTD,“大\t山\t猫” MTTD,Rooikat MTTD,,
uk_olifant_mk_2,Olifant Mk.2,Olifant Mk 2,Olifant Mk.2,Olifant Mk.2,Olifant Mk. 2,Olifant Mk.2,Olifant Mk.2,Olifant Mk.2,Olifant Mk.2,号\t角 Mk 2,オリファント Mk.2,Olifant Mk.2,Olifant Mk.2,Olifant Mk.2,Olifant Mk. 2,올리판트 Mk.2,Olifant Mk.2,Olifant Mk.2,象\t式 Mk.2,“号\t角” Mk.2,Olifant Mk.2,,
uk_olifant_mk_1a,Olifant Mk.1A,Olifant Mk 1A,Olifant Mk.1A,Olifant Mk.1A,Olifant Mk. 1A,Olifant Mk.1A,Olifant Mk.1A,Olifant Mk.1A,Olifant Mk.1A,号\t角 Mk 1A,オリファント Mk.1A,Olifant Mk.1A,Olifant Mk.1A,Olifant Mk.1A,Olifant Mk. 1A,올리판트 Mk.1A,Olifant Mk.1A,Olifant Mk.1A,象\t式 Mk.1A,“号\t角” Mk.1A,Olifant Mk.1A,,
uk_ratel_90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,蜜\t獾 90,ラーテル 90,Ratel 90,Ratel 90,Ratel 90,Ratel 90,라텔 90,Ratel 90,Ratel 90,蜜\t貛 90,“蜜\t獾” 90,Ratel 90,,
uk_a30_challenger,Challenger,Challenger,Challenger,Challenger,Challenger,Challenger,Challenger,Challenger,Challenger,挑\t战\t者,チャレンジャー,Challenger,Challenger,Challenger,Challenger,챌린저,Challenger,Challenger,挑\t戰\t者,“挑\t战\t者”\t(A30),Challenger,,
uk_a30_sp_avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger SP,Avenger,复\t仇\t者,アヴェンジャー,Avenger,Avenger,Osvetnik,Avenger,어벤저,Avenger,Avenger,復\t仇\t者,“复\t仇\t者”,Avenger,,
uk_a39_tortoise,Tortoise,Tortoise,Tortoise,Tortoise,Tortoise,Tortoise,Tortoise,Tortoise,Tortoise,土\t龟,トータス,Tortoise,Tortoise,Tortoise,Tortoise,토터스,Tortoise,Tortoise,土\t龜,“土\t龟”,Tortoise,,
uk_fv4004_conway,Conway,Conway,Conway,Conway,Conway,Conway,Conway,Conway Mk.3,Conway,康\t韦,コンウェイ,Conway,Conway,Conway,Conway,콘웨이,Conway,Conway,康\t威,“康\t韦”,Conway,,
uk_fv721_fox,Fox,Fox,Fox,FV721 Fox,Fox,Fox,Fox,Fox,Fox,狐,フォックス,Fox,Fox,Fox,Fox,폭스,Fox,Fox,狐,Fox,Fox,,
uk_fv107_scimitar,Scimitar,Scimitar,Scimitar,Scimitar,Scimitar,Scimitar,Scimitar,Scimitar,Scimitar,弯\t刀,シミター,Scimitar,Scimitar,Scimitar,Scimitar,시미터,Scimitar,Scimitar,彎\t刀,Scimitar,Scimitar,,
uk_fv438_swingfire,Swingfire,Swingfire,Swingfire,Swingfire,Swingfire,Swingfire,Swingfire,Swingfire,Swingfire,旋\t火,スウィングファイア,Swingfire,Swingfire,Swingfire,Swingfire,스윙파이어,Swingfire,Swingfire,旋\t火,“旋\t火”,Swingfire,,
uk_armored_car_mk_2_aa,AEC AA,AEC AA,AEC AA,AC Mk II AA,AEC AA,AEC AA,AEC AA,AEC AA,AEC AA,AEC 防\t空\t型,AEC AA,AEC AA,AEC AA,AEC AA,AEC AA,AEC AA,AC Mk.II AA,AC Mk II AA [AAA],AEC Mk II 防\t空\t型,装\t甲\t车 Mk II 防\t空\t型,AEC AA,,
